date,close,high,low,open,volume
2010/12/22,21.19924927,21.49033695,21.06045392,21.37274676,6298200
2010/12/23,20.92743874,21.17418795,20.78093084,21.14719838,4457100
2010/12/27,21.26671791,21.39780287,20.77707358,20.80406095,3311400
2010/12/28,21.27635956,21.32455208,21.21081596,21.30527507,1644600
2010/12/29,21.27442551,21.40387555,21.22612137,21.30147414,1691100
2010/12/30,21.34977913,21.38455785,21.15463667,21.22998945,1508700
2010/12/31,21.48695564,21.57583163,21.26476458,21.27828779,2147700
2011/1/3,21.8656559,22.01249646,21.6164139,21.63380436,3542400
2011/1/4,21.66857529,22.07238782,21.64925451,22.03567659,5490000
2011/1/5,21.3130722,21.45411519,20.93051511,21.28409104,8698500
2011/1/6,21.20293617,21.44444799,21.17395281,21.32852117,6545100
2011/1/7,21.57970047,21.68403441,21.12565567,21.18168547,4686900
2011/1/10,21.81927299,21.91974186,21.37875159,21.49854343,4242600
2011/1/11,22.3853817,22.6597419,22.12454692,22.1438699,5344800
2011/1/12,22.80080032,22.81625827,22.53996537,22.58826953,3145800
2011/1/13,23.04230881,23.04230881,22.7138512,22.79886217,3375300
2011/1/14,23.41906166,23.44804503,22.90898714,22.99013526,3775800
2011/1/18,23.24130821,23.48282003,23.15243002,23.48282003,2608200
2011/1/19,22.80272675,23.13891221,22.76988054,23.06935698,2839500
2011/1/20,22.85102463,22.9592236,22.59598735,22.79885766,2767500
2011/1/21,22.88193703,23.05775869,22.80851677,22.92251109,3205500
2011/1/24,23.1176548,23.13504526,22.88773585,22.88966837,2994300
2011/1/25,23.17370224,23.18529515,22.85297235,22.98822006,2643300
2011/1/26,23.25097656,23.31473424,23.01332749,23.19107951,3649500
2011/1/27,23.71274948,23.95812643,23.37463149,23.53692777,4372200
2011/1/28,23.34757996,23.98710689,23.20846949,23.86152186,3571500
2011/1/31,23.31087112,23.58909427,23.27802492,23.49828574,2786100
2011/2/1,23.87890625,24.04313502,23.40940354,23.56397192,3711600
2011/2/2,23.55045128,23.81514898,23.5195376,23.78616782,1803000
2011/2/3,23.51373863,23.57749851,23.16209526,23.49441786,2679600
2011/2/4,23.65671921,23.77844364,23.33598945,23.51374369,1628100
2011/2/7,24.0875721,24.1339415,23.64318775,23.7050151,2039700
2011/2/8,24.46240616,24.46433868,24.01802172,24.0933723,3386700
2011/2/9,24.35807037,24.37159359,24.11655629,24.31169875,3472200
2011/2/10,24.52422333,24.555137,24.10109236,24.15712214,2061300
2011/2/11,24.8372345,24.93384058,24.33875275,24.38125713,3134100
2011/2/14,24.93190193,24.94929018,24.6691368,24.78699394,2708400
2011/2/15,25.11158752,25.18307526,24.82177156,24.88939425,3365400
2011/2/16,25.15023422,25.30480262,24.91258517,25.17342004,2454900
2011/2/17,25.05749321,25.08454406,24.89519694,24.9125852,2055900
2011/2/18,25.19466972,25.21012546,24.89712587,25.05362456,2788800
2011/2/22,24.14553642,24.85848351,24.09143694,24.85848351,3213900
2011/2/23,23.8711834,24.43922261,23.59875559,24.17838771,3474300
2011/2/24,23.91174316,24.12234347,23.56782781,23.94265683,3194700
2011/2/25,24.13974571,24.2266892,23.99483768,24.09917164,1752900
2011/2/28,24.27112198,24.34454223,24.08757245,24.28657992,2091900
2011/3/1,23.81514168,24.34647164,23.79968595,24.29237216,3192900
2011/3/2,23.89823723,24.0547382,23.58523529,23.78424286,2023800
2011/3/3,24.51649094,24.59764124,24.0682439,24.12427367,2594100
2011/3/4,24.25759506,24.5783247,23.93686543,24.4527397,2314200
2011/3/7,24.0257473,24.67879957,23.95619208,24.36773027,2079300
2011/3/8,24.56093025,24.58411605,24.06437909,24.13200176,3658800
2011/3/9,23.95426178,24.18611328,23.50214727,24.16292968,5628600
2011/3/10,23.0577507,23.6644333,23.04036246,23.63158712,4978200
2011/3/11,23.38041687,23.44224421,22.95535336,23.15049576,2605200
2011/3/14,22.90126038,23.32246118,22.85489096,23.18528104,3347100
2011/3/15,22.56894493,22.70998793,22.17479489,22.47233884,4401600
2011/3/16,22.04920387,22.70225619,21.8984983,22.50324869,3270900
2011/3/17,22.32936478,22.5573535,22.14195013,22.45495205,3886200
2011/3/18,22.51290894,22.81045283,22.47233487,22.64815656,2855700
2011/3/21,22.92251396,23.02105256,22.64429085,22.92251396,2097000
2011/3/22,22.7099781,22.97660825,22.69258985,22.89546014,2775600
2011/3/23,22.88773537,22.914784,22.43175809,22.62110519,2235300
2011/3/24,23.46929932,23.48089001,23.05389611,23.10606308,3114600
2011/3/25,23.41326904,23.55237949,23.25870065,23.47316388,1592100
2011/3/28,23.2142601,23.34950771,23.15436527,23.21812514,2657400
2011/3/29,23.25685692,23.28202541,22.95869265,23.15036889,1865400
2011/3/30,23.77574158,23.88803704,23.42917245,23.48532129,2595300
2011/3/31,24.21717834,24.22685887,23.68474265,23.70603804,3955500
2011/4/1,24.62764168,24.62764168,24.28107255,24.38175093,2739300
2011/4/4,24.66636848,24.77866397,24.41273371,24.58698769,1883400
2011/4/5,24.25977898,24.56956038,24.24429101,24.52309428,3678300
2011/4/6,24.21524048,24.44757757,24.09132795,24.37787733,1912500
2011/4/7,24.03711128,24.28300196,23.94611345,24.1784505,2165700
2011/4/8,24.12423897,24.31591737,23.97902886,24.19200487,2762100
2011/4/11,24.00807762,24.35658331,23.89190906,24.11069256,1577700
2011/4/12,24.02357101,24.23848145,23.8473827,23.9267635,3180000
2011/4/13,23.97322464,24.22104969,23.79897071,24.20362297,1834500
2011/4/14,23.72927094,23.82607843,23.60729496,23.7912272,2389500
2011/4/15,23.82994461,23.93836693,23.60535156,23.79896427,1981500
2011/4/18,23.50468254,23.66344631,23.33043081,23.57244624,3008400
2011/4/19,23.50082016,23.58407407,23.36722703,23.55696902,1847100
2011/4/20,24.0332489,24.06616359,23.78155071,23.84350698,1944300
2011/4/21,24.38175583,24.4262876,24.08939893,24.11263309,1927200
2011/4/25,24.13392639,24.34109281,24.06228959,24.29075362,1508400
2011/4/26,24.4630661,24.50372476,24.18426072,24.25589751,1618500
2011/4/27,24.37013054,24.55406276,24.06615669,24.53470171,2136000
2011/4/28,24.65280724,24.70508297,24.13392298,24.354643,2538300
2011/4/29,24.99937057,25.08068787,24.72831143,24.78252371,2985000
